"","Taxon","site_code","mean.cover.response","local_lifeform","local_lifespan","functional_group","leafN","height","rootN","SLA","root_depth","RTD","SRL","root_diam"
"23","Artemisia ludoviciana","kernnu.ca",2,"FORB","PERENNIAL","FORB",19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746
"24","Artemisia ludoviciana","kernb.ca",1.25,"FORB","PERENNIAL","FORB",19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746
"25","Artemisia ludoviciana","brookdale.ca",0.32499999985,"FORB","PERENNIAL","FORB",19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746
"26","Artemisia ludoviciana","cedarsav.us",-0.75,"FORB","PERENNIAL","FORB",19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746
"27","Asperula cynanchica","allmendo.ch",1.875,"FORB","PERENNIAL","FORB",26.78563146,0.284375,4.540442599,27.91666667,0.93,0.3908625,22.875,0.16639
"28","Asperula cynanchica","allmendb.ch",-0.125,"FORB","PERENNIAL","FORB",26.78563146,0.284375,4.540442599,27.91666667,0.93,0.3908625,22.875,0.16639
"29","Asperula gunnii","falls.au",0,"FORB","PERENNIAL","FORB",23.36581912,0.432,8.643246404,21.796842,0.570946719,0.353973018,157.6465274,0.169025203
"30","Astrantia major","pineta.es",3.75,"FORB","NULL","FORB",28.539,0.4215,10.15016148,22.75909384,1.102055464,0.24350627,154.1435862,0.500938893
"31","Bassia scoparia","antelope.us",0.075,"FORB","ANNUAL","FORB",32.45,1.184444444,9.39334462,19.65690846,0.573370828,0.384575183,97.31383001,0.249537131
"32","Bellis perennis","jenadrt.de",-6,"FORB","PERENNIAL","FORB",17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583
"33","Boerhavia diffusa","cerrillos.ar",-3.13,"FORB","PERENNIAL","FORB",22.5528536,0.55,8.971301891,20.76,1.2,0.347315764,14.29,0.630988319
"34","Calylophus serrulatus","oklah.us",0,"FORB","PERENNIAL","FORB",27.14258247,0.370017392,11.95337047,11.69,1.33,0.419435767,109.2762943,0.332447572
"35","Camassia quamash","cowidrt.ca",0.5,"GRASS","PERENNIAL","FORB",27.42842508,0.70104,10.68807051,12.08,0.254,0.316040808,NA,0.932310815
"36","Campanula rotundifolia","kernnu.ca",-0.333333333333333,"FORB","PERENNIAL","FORB",21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667
"37","Campanula rotundifolia","kernb.ca",0,"FORB","PERENNIAL","FORB",21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667
"38","Carduus pycnocephalus","scruzl.us",-7.8,"FORB","ANNUAL","FORB",8.2,0.8,15.95131794,38,1.818370447,0.057208068,239.9117417,0.514014229
"39","Carduus pycnocephalus","scruzm.us",-1,"FORB","ANNUAL","FORB",8.2,0.8,15.95131794,38,1.818370447,0.057208068,239.9117417,0.514014229
"40","Carex distachya","ayora.es",-1,"GRAMINOID","PERENNIAL","FORB",18.75799477,0.1756,4.832835102,4.8,0.91,0.286560515,94.65180485,0.267297413
"41","Celmisia costiniana","falls.au",1.66666666666666,"FORB","PERENNIAL","FORB",20.91047528,0.515,11.51438714,9.655537,0.544193829,0.258657721,129.5204575,0.277497004
"42","Centaurea jacea","allmendb.ch",-0.75,"FORB","PERENNIAL","FORB",25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037
"43","Centaurea jacea","allmendo.ch",1.375,"FORB","PERENNIAL","FORB",25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037
"44","Centaurea jacea","rhijn.nl",-1.2,"FORB","PERENNIAL","FORB",25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037
"45","Centaurea melitensis","lcnorth.cl",-26,"FORB","ANNUAL","FORB",23.46839325,1,13.19014872,9.4,0.3,0.255779309,145.36,0.333202668
"46","Centaurea scabiosa","allmendo.ch",-3.20833333333333,"FORB","PERENNIAL","FORB",22.3,0.9625,11.09976411,16.2315625,2.708833,0.182590287,146.4648418,0.286172254
"47","Centaurea scabiosa","allmendb.ch",0.083333333333333,"FORB","PERENNIAL","FORB",22.3,0.9625,11.09976411,16.2315625,2.708833,0.182590287,146.4648418,0.286172254
"48","Cerastium arvense","elvadrt.ee",0,"FORB","PERENNIAL","FORB",24.36700677,0.188888889,6.130655925,21.10181624,0.22,0.486326636,91.58154988,0.188766667
"49","Cerastium arvense","cowidrt.ca",0,"FORB","PERENNIAL","FORB",24.36700677,0.188888889,6.130655925,21.10181624,0.22,0.486326636,91.58154988,0.188766667
"50","Cerastium arvense","kernnu.ca",1.5,"FORB","PERENNIAL","FORB",24.36700677,0.188888889,6.130655925,21.10181624,0.22,0.486326636,91.58154988,0.188766667
"51","Cerastium arvense","kernb.ca",0,"FORB","PERENNIAL","FORB",24.36700677,0.188888889,6.130655925,21.10181624,0.22,0.486326636,91.58154988,0.188766667
"52","Cerastium arvense","matador.ca",-0.5,"FORB","PERENNIAL","FORB",24.36700677,0.188888889,6.130655925,21.10181624,0.22,0.486326636,91.58154988,0.188766667
"53","Cerastium arvense","cmss.us",4,"FORB","PERENNIAL","FORB",24.36700677,0.188888889,6.130655925,21.10181624,0.22,0.486326636,91.58154988,0.188766667
"54","Cerastium arvense","paike.ar",0,"FORB","PERENNIAL","FORB",24.36700677,0.188888889,6.130655925,21.10181624,0.22,0.486326636,91.58154988,0.188766667
"55","Cerastium fontanum","jenadrt.de",-0.916666666666667,"FORB","PERENNIAL","FORB",24.9755,0.218333333,8.721238939,25.83139407,0.193150305,0.133299797,101.6244572,0.282
"56","Cerastium glomeratum","cowidrt.ca",0.0666666666666667,"FORB","ANNUAL","FORB",17.025,0.249,14.7,23.38503171,0.11,0.4988333,318,0.157464537
"57","Cerastium glomeratum","jenadrt.de",-0.666666666666667,"FORB","ANNUAL","FORB",17.025,0.249,14.7,23.38503171,0.11,0.4988333,318,0.157464537
"58","Chlorogalum pomeridianum","scruzh.us",-2.5,"FORB","PERENNIAL","FORB",28.9,0.60286681,10.51116258,12.962,0.250380941,0.307317495,NA,0.924327217
"59","Cirsium arvense","baddrt.de",-1.25,"FORB","PERENNIAL","FORB",29.75611991,0.84284049,15.2,16.60803212,1.853333,0.272498089,64,0.71
"60","Cirsium arvense","esw.ca",0.333333333333333,"FORB","PERENNIAL","FORB",29.75611991,0.84284049,15.2,16.60803212,1.853333,0.272498089,64,0.71
"61","Cirsium arvense","brookdale.ca",0.1,"FORB","PERENNIAL","FORB",29.75611991,0.84284049,15.2,16.60803212,1.853333,0.272498089,64,0.71
"62","Cirsium vulgare","scruzl.us",-5.25,"FORB","BIENNIAL","FORB",38.6,1.175,15.11324196,14.23064781,2.1,0.285613682,131.2433191,0.184
"63","Cirsium vulgare","scruzh.us",15,"FORB","BIENNIAL","FORB",38.6,1.175,15.11324196,14.23064781,2.1,0.285613682,131.2433191,0.184
"64","Claytonia perfoliata","cowidrt.ca",8.5,"FORB","NULL","FORB",24.6,0.222866667,10.49947624,52.4560081,0.1524,0.04795616,117.9293372,0.466033481
"65","Collinsia parviflora","oreaa.us",0,"FORB","ANNUAL","FORB",24.9666689,0.3048,14.4920836,32.3,0.449812959,0.186900323,211.7691975,0.28
"66","Collinsia parviflora","oreac.us",0,"FORB","ANNUAL","FORB",24.9666689,0.3048,14.4920836,32.3,0.449812959,0.186900323,211.7691975,0.28
"67","Comandra umbellata","matador.ca",-4.5,"FORB","PERENNIAL","FORB",21.0594,0.248223914,9.387071458,18.08533756,0.681927847,0.334821433,31.36179282,0.321385714
"68","Comandra umbellata","brookdale.ca",0,"FORB","PERENNIAL","FORB",21.0594,0.248223914,9.387071458,18.08533756,0.681927847,0.334821433,31.36179282,0.321385714
"69","Comandra umbellata","cedarsav.us",-2.16666666666667,"FORB","PERENNIAL","FORB",21.0594,0.248223914,9.387071458,18.08533756,0.681927847,0.334821433,31.36179282,0.321385714
"70","Commelina cyanea","yarradrt.au",0,"FORB","PERENNIAL","FORB",30.634,0.1,9.421189506,34.85,0.372127358,0.12642,142.3912932,0.05284
"71","Convolvulus arvensis","jenadrt.de",-2.5,"FORB","PERENNIAL","FORB",27.77,0.048,12.29,17.215475,2.24,0.5298167,31.40813333,0.370782563
"72","Conyza canadensis","bivensarm.us",0.203749999775,"FORB","NULL","FORB",27.9,0.836805556,12.78245899,21.34368455,0.1524,0.09,119,0.35
"73","Coreopsis palmata","cedartrait.us",-0.916666666666667,"FORB","PERENNIAL","FORB",12.06502778,0.614,18.5591,18.06209157,0.808334779,0.1,82.33333333,0.33
"74","Coreopsis palmata","cedarsav.us",-23.5,"FORB","PERENNIAL","FORB",12.06502778,0.614,18.5591,18.06209157,0.808334779,0.1,82.33333333,0.33
"75","Crepis biennis","jenadrt.de",-0.333333333333333,"FORB","PERENNIAL","FORB",18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286
"76","Crepis biennis","allmendb.ch",-0.25,"FORB","PERENNIAL","FORB",18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286
"77","Crepis biennis","baddrt.de",0.2,"FORB","PERENNIAL","FORB",18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286
"78","Crepis capillaris","baddrt.de",0.2,"FORB","ANNUAL","FORB",25.65,0.458333333,10.7,35.00023666,0.385,0.034609511,138,0.451631676
"79","Croton glandulosus","bfl.us",0,"FORB","ANNUAL","FORB",17.5,0.480638763,12.09587325,38.2464889,0.999154641,0.225597414,153.5549323,0.593277454
"80","Croton monanthogynus","oklah.us",1.25,"FORB","ANNUAL","FORB",17.5,0.42171446,12.17699152,18.1,1.060784681,0.393482819,143.1969975,0.526032116
"81","Cruciata glabra","pineta.es",0,"FORB","NULL","FORB",17.002,0.194,10.75350322,21.52069774,0.14,0.306222369,242.5204112,0.163589059
"82","Dactylorhiza maculata","lygraint.no",-1,"FORB","NULL","FORB",22.6,0.6,10.99253857,24.23285714,0.100367652,0.222222098,108.1171735,0.555663263
"83","Dactylorhiza maculata","pineta.es",0,"FORB","NULL","FORB",22.6,0.6,10.99253857,24.23285714,0.100367652,0.222222098,108.1171735,0.555663263
"84","Daucus carota","esw.ca",-2,"FORB","BIENNIAL","FORB",23.75644602,0.487097662,12.75277167,17.37707021,0.8266667,0.329231092,244.5257138,0.314314803
"85","Daucus carota","elvadrt.ee",0,"FORB","BIENNIAL","FORB",23.75644602,0.487097662,12.75277167,17.37707021,0.8266667,0.329231092,244.5257138,0.314314803
"86","Diplotaxis tenuifolia","naposta.ar",-1.66666666666667,"FORB","BIENNIAL","FORB",31.29095327,0.575,14.02827681,22.45,1.170737015,0.566459823,53.58709687,0.399906876
"87","Echium vulgare","allmendb.ch",0.125,"FORB","PERENNIAL","FORB",23.6,0.716666667,12.28969466,14.45,2.57,0.362935325,149.2788485,0.385
"88","Epilobium angustifolium","baddrt.de",0.075,"FORB","PERENNIAL","FORB",26.69696541,1.0483,15.43931368,19.77553761,0.627,0.328382619,261.095,0.335656736
"89","Epilobium brachycarpum","oreac.us",-0.3,"FORB","ANNUAL","FORB",30.48666667,0.286,10.95816314,21.56584,0.689424156,0.343062758,81.71053333,0.363723603
"90","Epilobium brachycarpum","oreaa.us",0.6,"FORB","ANNUAL","FORB",30.48666667,0.286,10.95816314,21.56584,0.689424156,0.343062758,81.71053333,0.363723603
"91","Epilobium tetragonum","baddrt.de",-0.116666666666667,"FORB","PERENNIAL","FORB",28.01877313,0.720833333,13.22258086,15.9,0.674655441,0.377923218,167.5179887,0.344057504
"92","Epipactis palustris","pineta.es",-5,"FORB","NULL","FORB",24.91187714,0.4375,10.69394443,22.62,0.213589112,0.233384533,93.69976675,0.531156695
"93","Equisetum arvense","elvadrt.ee",0,"FORB","PERENNIAL","FORB",20.06733732,0.344317143,10.65761826,13.18450744,0.2262,0.252201208,93.69557629,0.256341479
"94","Erigeron annuus","esw.ca",-0.333333333333333,"FORB","ANNUAL","FORB",13.87251282,0.790891667,7.539363428,23.37334387,1.02,0.32875817,62.7520477,0.25
"95","Erigeron bonariensis","naposta.ar",2,"FORB","ANNUAL","FORB",20.2,0.46625,11.70671258,17.6205,0.850727356,0.162494861,126.8641723,0.30477812
"96","Erigeron canadensis","baddrt.de",0.0333333333333333,"FORB","ANNUAL","FORB",27.5,0.676,12.38888882,21.20435157,1.09,0.09,119,0.35
"97","Erigeron strigosus","oklah.us",-6,"FORB","ANNUAL, Perennial (Oklahoma (KAEFS-OK))","FORB",12.3765,0.566,8.469484874,24.97386549,0.254,0.276854627,81.10196985,0.268597214
"98","Erodium cicutarium","spvdrt.ar",-2.33333333333333,"FORB","ANNUAL","FORB",34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243
"99","Erodium cicutarium","capmcd.us",-0.133333333333333,"FORB","ANNUAL","FORB",34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243
"100","Erodium cicutarium","lcnorth.cl",-0.25,"FORB","ANNUAL","FORB",34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243
"101","Erodium cicutarium","scruzh.us",-1,"FORB","ANNUAL","FORB",34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243
"102","Erodium cicutarium","gmgranite.us",-0.0285714285714286,"FORB","ANNUAL","FORB",34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243
"103","Erodium cicutarium","gmmolar.us",-0.1,"FORB","ANNUAL","FORB",34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243
"104","Eschscholzia californica","scruzm.us",4,"FORB","PERENNIAL","FORB",46.6,0.405253333,23.41729515,27.92808564,0.254,0.015053333,527.2,0.24385
"105","Euphorbia cyparissias","allmendo.ch",-0.75,"FORB","PERENNIAL","FORB",29,0.2375,8.96,23.6,0.89,0.411,6.4,0.699
"106","Euphorbia cyparissias","allmendb.ch",1.75,"FORB","PERENNIAL","FORB",29,0.2375,8.96,23.6,0.89,0.411,6.4,0.699
"107","Euthamia graminifolia","cedarsav.us",0,"FORB","PERENNIAL","FORB",19.4891582,0.798,12.53097139,12.04198841,0.385502485,0.215502614,87.47550854,0.330419837
"108","Evolvulus sericeus","bfl.us",0.5,"FORB","PERENNIAL","FORB",28.08432778,0.165186473,11.81355564,13.12723643,1.685926078,0.462205712,64.33111186,0.340536885
"109","Fragaria vesca","elvadrt.ee",-6.66666666666667,"FORB","PERENNIAL","FORB",16.48863464,0.136111111,13.26090147,24.4032544,0.267,0.351086957,312.2441806,0.1112
"110","Fragaria vesca","pineta.es",2.75,"FORB","PERENNIAL","FORB",16.48863464,0.136111111,13.26090147,24.4032544,0.267,0.351086957,312.2441806,0.1112
"111","Galium aparine","cowidrt.ca",0,"FORB","ANNUAL","FORB",30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334
"112","Galium boreale","kernnu.ca",4.5,"FORB","PERENNIAL","FORB",18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779
"113","Galium boreale","kernb.ca",-3,"FORB","PERENNIAL","FORB",18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779
"114","Galium boreale","brookdale.ca",0.05,"FORB","PERENNIAL","FORB",18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779
"115","Galium lucidum","ayora.es",1.5,"VINE","PERENNIAL","FORB",26,0.375,12.01609937,40.8,0.67,NA,401.8107354,0.237517884
"116","Galium mollugo","rhijn.nl",-9.16666666666667,"FORB","ANNUAL","FORB",29.6653889,0.57825,12.06782427,21.5515698,0.1688729,0.105319476,406.1581499,0.264461111
"117","Galium saxatile","lygraint.no",-1,"FORB","NULL","FORB",25.1,0.175,13.3735465,25.08983957,0.422365074,0.197762796,345.751649,0.139093799
"118","Galium verum","allmendo.ch",-0.291666666666667,"FORB","PERENNIAL","FORB",21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034
"119","Geranium dissectum","scruzl.us",-11.75,"FORB","ANNUAL","FORB",19.13,0.151,14.74744404,17.86,0.5,0.382010582,207.6012196,0.122766667
"120","Geranium dissectum","jenadrt.de",1,"FORB","ANNUAL","FORB",19.13,0.151,14.74744404,17.86,0.5,0.382010582,207.6012196,0.122766667
"121","Geranium molle","cowidrt.ca",4,"FORB","NULL","FORB",26.45,0.296666667,17.0659065,23.20870159,0.53,0.329104478,289.9024475,0.112466667
"122","Geranium pusillum","jenadrt.de",41.6666666666667,"FORB","NULL","FORB",17.47,0.2,13.05894645,26.42,0.59,0.417391304,192.0238007,0.1212
"123","Geum canadense","esw.ca",-1,"FORB","PERENNIAL","FORB",23.23859009,0.77936,13.76332073,20.2434208,0.1016,0.335631925,175.8861837,0.616387702
"124","Globularia vulgaris","allmendo.ch",0.875,"FORB","PERENNIAL","FORB",24.12484223,0.2,14.64762965,6.892,0.47,0.41668363,184.8334661,0.354224845
"125","Globularia vulgaris","allmendb.ch",-1.66666666666667,"FORB","PERENNIAL","FORB",24.12484223,0.2,14.64762965,6.892,0.47,0.41668363,184.8334661,0.354224845
"126","Gnaphalium supinum","passogavia.it",-0.01,"FORB","PERENNIAL","FORB",22.46381487,0.363624058,28.1,27.00300375,0.711612022,NA,307.39,0.29
"127","Gypsophila repens","allmendo.ch",0,"FORB","PERENNIAL","FORB",12.7,0.14,11.82290125,15.67666667,0.485218747,0.333767138,228.298607,0.215286254
"128","Heliopsis helianthoides","brookdale.ca",0,"FORB","PERENNIAL","FORB",NA,NA,NA,NA,NA,NA,NA,NA
"129","Hepatica nobilis","pineta.es",1.25,"FORB","NULL","FORB",24,0.33647706,11.5029133,27.165,0.356445882,0.133910158,188.2997429,0.391362691
"130","Hydrocotyle bonariensis","marcdrt.ar",0.25,"FORB","PERENNIAL","FORB",25.11776722,0.184603683,10.68163827,27.35005333,1.006581049,0.210145775,169.2163931,0.485859569
"131","Hydrocotyle bonariensis","chilcasdrt.ar",-0.75,"FORB","PERENNIAL","FORB",25.11776722,0.184603683,10.68163827,27.35005333,1.006581049,0.210145775,169.2163931,0.485859569
"132","Hypochaeris radicata","baddrt.de",0,"FORB","PERENNIAL","FORB",17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779
"133","Hypochaeris radicata","spvdrt.ar",1.66666666666667,"FORB","PERENNIAL","FORB",17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779
"134","Hypochaeris radicata","falls.au",-0.166666666666667,"FORB","PERENNIAL","FORB",17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779
"135","Lactuca serriola","naposta.ar",0,"FORB","BIENNIAL","FORB",32,0.9375,12.96648938,21.4302,0.825,0.2572538,193.07,0.61
"136","Lactuca tatarica","kernb.ca",1.5,"FORB","PERENNIAL","FORB",22.6,0.625,9.764721716,18.07666667,2.4,0.213227444,77.19169246,0.636228768
"137","Leontodon hispidus","elvadrt.ee",-3.66666666666667,"FORB","PERENNIAL","FORB",23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146
"138","Leucanthemopsis alpina","passogavia.it",-0.5,"FORB","PERENNIAL","FORB",NA,NA,NA,NA,NA,NA,NA,NA
"139","Leucanthemum vulgare","rhijn.nl",0,"FORB","PERENNIAL","FORB",30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427
"140","Leucanthemum vulgare","allmendb.ch",0.125,"FORB","PERENNIAL","FORB",30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427
"141","Liatris aspera","cedartrait.us",-0.607142857142857,"FORB","PERENNIAL","FORB",12.33641253,0.68,20.498833,17.00092904,0.548632841,0.135313282,193.6403191,0.335858333
"142","Liatris punctata","bfl.us",-11,"FORB","PERENNIAL","FORB",16.817,0.6096,19.38395584,9.8333502,0.3556,0.16753096,118.8077502,0.3044
"143","Liatris squarrosa","oklah.us",0,"FORB","PERENNIAL","FORB",22.06384,0.4548,19.23698647,16.33650548,0.67,0.128228564,119.6990796,0.29674491
"144","Ligusticum mutellina","passogavia.it",32,"FORB","PERENNIAL","FORB",21.8,0.28,10.09081324,24.9616,0.68,0.204711905,188.8780939,0.533735791
"145","Linum bienne","scruzh.us",1.5,"FORB","ANNUAL","FORB",27.53,0.375,14.82624006,26.60625,0.291340501,0.330776417,119.3862143,1.011441668
"146","Linum catharticum","allmendb.ch",-0.75,"FORB","ANNUAL","FORB",20.2751018,0.184833333,15.91837728,29.89038332,0.18,0.3081,160,1.190476
"147","Linum catharticum","allmendo.ch",-0.625,"FORB","ANNUAL","FORB",20.2751018,0.184833333,15.91837728,29.89038332,0.18,0.3081,160,1.190476
"148","Linum medium","slp.us",-2.33333333333333,"FORB","ANNUAL","FORB",23.59012265,0.328,15.08919366,22.57688088,0.3308806,0.361578154,137.7325439,1.001080672
"149","Lysimachia europaea","lygraint.no",-3.66666666666667,"FORB","NULL","FORB",32.8,0.09,11.37534586,51,0.127131588,0.017494633,48.22875252,0.500350913
"150","Monarda fistulosa","cedartrait.us",1,"FORB","PERENNIAL","FORB",11.29051118,0.662,17.87547,26.21085308,0.1016,0.165191358,93.37285277,0.28925
"151","Neottia ovata","pineta.es",-1.66666666666667,"FORB","NULL","FORB",25.76044693,0.32,10.50370037,30.18571429,0.202154364,0.167813837,91.38381834,0.543010073
"152","Noticastrum sericeum","spvdrt.ar",2,"FORB","PERENNIAL","FORB",30.175,1.510669922,11.56465739,36.99,0.389185664,0.026189453,51.53874537,0.438672133
"153","Persicaria vivipara","passogavia.it",-0.9,"FORB","PERENNIAL","FORB",21.5,0.283,10.68422509,22,0.463642697,0.276754029,95.5808295,0.323362714
"154","Phlox hoodii","oreaa.us",-2.5,"FORB","PERENNIAL","FORB",23.27,0.02825,12.77559286,13.95070877,0.54,0.180454545,107.0545926,0.2647
"155","Phyteuma hemisphaericum","passogavia.it",-0.4,"FORB","PERENNIAL","FORB",27,0.1,13.12827122,19.5,0.755428759,0.170401776,396.6234787,0.159505906
"156","Picris hieracioides","jenadrt.de",-1.66666666666667,"FORB","PERENNIAL","FORB",24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832
"157","Picris hieracioides","baddrt.de",-18,"FORB","PERENNIAL","FORB",24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832
"158","Pimpinella saxifraga","allmendb.ch",-0.25,"FORB","PERENNIAL","FORB",21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222
"159","Pimpinella saxifraga","pineta.es",0,"FORB","PERENNIAL","FORB",21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222
"160","Pimpinella saxifraga","allmendo.ch",0.0833333333333335,"FORB","PERENNIAL","FORB",21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222
"161","Plantago euryphylla","falls.au",-0.25,"FORB","PERENNIAL","FORB",45.18531954,0.03,16.42720864,15.9845175,0.264184386,0.311205652,77.1557744,0.223635463
"162","Plantago lanceolata","baddrt.de",0.8,"FORB","PERENNIAL","FORB",25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317
"163","Plantago lanceolata","scruzh.us",-1.66666666666667,"FORB","PERENNIAL","FORB",25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317
"164","Plantago lanceolata","rhijn.nl",-1,"FORB","PERENNIAL","FORB",25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317
"165","Plantago lanceolata","qdtsouth.cl",0,"FORB","PERENNIAL","FORB",25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317
